temp(ORIGINAL),temp
17.83333333,17.83
21.33333333,21.33
22.94444444,22.94
22.16666667,22.17
20.33333333,20.33
12.88888889,12.89
9.166666667,9.17
14.61111111,14.61
17.5,17.5
17.16666667,17.17
17.83333333,17.83
19.11111111,19.11
14.55555556,14.56
12.16666667,12.17
14.38888889,14.39
11.44444444,11.44
8.833333333,8.83
9.944444444,9.94
7,7
8.555555556,8.56
10.33333333,10.33
6.444444444,6.44
5.166666667,5.17
3.444444444,3.44
3.388888889,3.39
6.666666667,6.67
8.111111111,8.11
7.666666667,7.67
7.777777778,7.78
10.05555556,10.06
13.77777778,13.78
8.277777778,8.28
9.111111111,9.11
8.555555556,8.56
8.722222222,8.72
11,11
10.44444444,10.44
4.055555556,4.06
2.888888889,2.89
7.666666667,7.67
9.777777778,9.78
5.444444444,5.44
0.555555556,0.56
-5.888888889,-5.89
2.111111111,2.11
6.555555556,6.56
7,7
13.55555556,13.56
10.05555556,10.06
4.611111111,4.61
7,7
5.277777778,5.28
0.611111111,0.61
-5.055555556,-5.06
-9.222222222,-9.22
-7.777777778,-7.78
-0.277777778,-0.28
-3.111111111,-3.11
-5.944444444,-5.94
-2.777777778,-2.78
-1.444444444,-1.44
4.277777778,4.28
2.277777778,2.28
5.277777778,5.28
4.277777778,4.28
0.388888889,0.39
-9.777777778,-9.78
-13.27777778,-13.28
-13.94444444,-13.94
-8.277777778,-8.28
-14.72222222,-14.72
-7.444444444,-7.44
-10.55555556,-10.56
-7.5,-7.5
-3.444444444,-3.44
-6.055555556,-6.06
-8.388888889,-8.39
-6.444444444,-6.44
-1.222222222,-1.22
2.611111111,2.61
0.777777778,0.78
-3.722222222,-3.72
-4.833333333,-4.83
-6.444444444,-6.44
-16.38888889,-16.39
-13.27777778,-13.28
-3.444444444,-3.44
-1.666666667,-1.67
1.277777778,1.28
4.555555556,4.56
-12.05555556,-12.06
-11.77777778,-11.78
-11.61111111,-11.61
-12.88888889,-12.89
-15.38888889,-15.39
-9.055555556,-9.06
-5.388888889,-5.39
-16.94444444,-16.94
-21.88888889,-21.89
-14,-14
-11.66666667,-11.67
-9.222222222,-9.22
-0.611111111,-0.61
-1.111111111,-1.11
4.388888889,4.39
2.722222222,2.72
-1.055555556,-1.06
-5.333333333,-5.33
-4.944444444,-4.94
-10.88888889,-10.89
-2.166666667,-2.17
2.222222222,2.22
-2.833333333,-2.83
-14.5,-14.5
-11.16666667,-11.17
-17.22222222,-17.22
-1.833333333,-1.83
-2.333333333,-2.33
0.111111111,0.11
-16.44444444,-16.44
-14.05555556,-14.06
-5.111111111,-5.11
-1.555555556,-1.56
-10,-10
-8.055555556,-8.06
-12.38888889,-12.39
-8.222222222,-8.22
-7.388888889,-7.39
-15.11111111,-15.11
-17.33333333,-17.33
-13.66666667,-13.67
-8.611111111,-8.61
-14.22222222,-14.22
-18.16666667,-18.17
-14.38888889,-14.39
-7.166666667,-7.17
-1.222222222,-1.22
-8.944444444,-8.94
-7.555555556,-7.56
-4.333333333,-4.33
-1,-1
6.388888889,6.39
4.444444444,4.44
1.5,1.5
-1.666666667,-1.67
-2.277777778,-2.28
-5.833333333,-5.83
-6.888888889,-6.89
-12.88888889,-12.89
-11.11111111,-11.11
-14.61111111,-14.61
-5.222222222,-5.22
-14.55555556,-14.56
-18.94444444,-18.94
-13.66666667,-13.67
-5.277777778,-5.28
-4.333333333,-4.33
-1.666666667,-1.67
2.277777778,2.28
-2.166666667,-2.17
5.444444444,5.44
11.94444444,11.94
5.666666667,5.67
0.777777778,0.78
7.611111111,7.61
8.833333333,8.83
3.277777778,3.28
-2.277777778,-2.28
1.5,1.5
5.944444444,5.94
2.388888889,2.39
6.277777778,6.28
6.222222222,6.22
-2.611111111,-2.61
-3.166666667,-3.17
-1.277777778,-1.28
-2.777777778,-2.78
4.777777778,4.78
8,8
2.277777778,2.28
4.777777778,4.78
13.05555556,13.06
13.05555556,13.06
2.222222222,2.22
6.111111111,6.11
6.055555556,6.06
2.111111111,2.11
6.111111111,6.11
10.72222222,10.72
11.66666667,11.67
9.055555556,9.06
13.77777778,13.78
15.5,15.5
16.05555556,16.06
21.44444444,21.44
8.5,8.5
1.111111111,1.11
2.611111111,2.61
10.5,10.5
6.111111111,6.11
10.55555556,10.56
17.83333333,17.83
21.66666667,21.67
18.55555556,18.56
13.77777778,13.78
10.27777778,10.28
11.44444444,11.44
16.77777778,16.78
18.22222222,18.22
13.83333333,13.83
15.55555556,15.56
7.5,7.5
5.555555556,5.56
7.388888889,7.39
13.05555556,13.06
15.05555556,15.06
13.66666667,13.67
15.27777778,15.28
17.94444444,17.94
24.44444444,24.44
21.61111111,21.61
14.16666667,14.17
18.77777778,18.78
18.16666667,18.17
16.72222222,16.72
11.44444444,11.44
11.5,11.5
7.555555556,7.56
8.5,8.5
12.33333333,12.33
16,16
19.94444444,19.94
23.55555556,23.56
19.88888889,19.89
17.94444444,17.94
20.61111111,20.61
20.88888889,20.89
20.27777778,20.28
21.77777778,21.78
22.22222222,22.22
21.83333333,21.83
24.22222222,24.22
25.72222222,25.72
25.38888889,25.39
24.72222222,24.72
23.05555556,23.06
22,22
21.5,21.5
19.55555556,19.56
23.5,23.5
19.61111111,19.61
17.72222222,17.72
19.55555556,19.56
20.11111111,20.11
22.5,22.5
20.83333333,20.83
19.27777778,19.28
22.61111111,22.61
23.83333333,23.83
25.66666667,25.67
19.94444444,19.94
27.11111111,27.11
23.33333333,23.33
25.27777778,25.28
25.16666667,25.17
22.94444444,22.94
22.27777778,22.28
24,24
25.5,25.5
22.22222222,22.22
23.16666667,23.17
23.66666667,23.67
24.05555556,24.06
22.27777778,22.28
21.11111111,21.11
16.38888889,16.39
19.88888889,19.89
22.05555556,22.06
20.44444444,20.44
26.61111111,26.61
25.72222222,25.72
23.44444444,23.44
22.44444444,22.44
23.55555556,23.56
22.61111111,22.61
25.27777778,25.28
23.16666667,23.17
21.05555556,21.06
17.94444444,17.94
20.33333333,20.33
21.11111111,21.11
21.88888889,21.89
23.11111111,23.11
24.44444444,24.44
28.05555556,28.06
28.88888889,28.89
24.5,24.5
22.33333333,22.33
22.72222222,22.72
25.55555556,25.56
22.83333333,22.83
19.94444444,19.94
20.94444444,20.94
21.72222222,21.72
21.77777778,21.78
23.61111111,23.61
24.61111111,24.61
25.44444444,25.44
25.5,25.5
23.61111111,23.61
20.72222222,20.72
20.94444444,20.94
22.66666667,22.67
22.66666667,22.67
22.83333333,22.83
22.22222222,22.22
17.44444444,17.44
25.22222222,25.22
23.83333333,23.83
21.33333333,21.33
21.88888889,21.89
21.33333333,21.33
25.61111111,25.61
25.5,25.5
23,23
27.38888889,27.39
27.27777778,27.28
25.22222222,25.22
28.5,28.5
28,28
22.66666667,22.67
22.44444444,22.44
21.94444444,21.94
22.55555556,22.56
22.44444444,22.44
23.66666667,23.67
22.61111111,22.61
21.66666667,21.67
24.16666667,24.17
28.66666667,28.67
18.44444444,18.44
17.66666667,17.67
18.77777778,18.78
19.72222222,19.72
21.27777778,21.28
17.66666667,17.67
11.66666667,11.67
9.222222222,9.22
10.27777778,10.28
15.83333333,15.83
15.11111111,15.11
13.55555556,13.56
18.61111111,18.61
16.55555556,16.56
20.55555556,20.56
23.16666667,23.17
16.94444444,16.94
16.27777778,16.28
17.22222222,17.22
16.77777778,16.78
20.72222222,20.72
22.05555556,22.06
21.61111111,21.61
21.83333333,21.83
21.5,21.5
17.16666667,17.17
18.27777778,18.28
17.5,17.5
8.944444444,8.94
6.666666667,6.67
12.72222222,12.72
13.83333333,13.83
15.72222222,15.72
14.94444444,14.94
12.88888889,12.89
9.333333333,9.33
10.16666667,10.17
10.94444444,10.94
12.44444444,12.44
13.05555556,13.06
12.83333333,12.83
13.16666667,13.17
13.11111111,13.11
9.5,9.5
12,12
14.55555556,14.56
12.61111111,12.61
12.83333333,12.83
14.77777778,14.78
15.44444444,15.44
15.61111111,15.61
16.55555556,16.56
17.5,17.5
9.722222222,9.72
8.333333333,8.33
10.5,10.5
2.555555556,2.56
2.833333333,2.83
10.66666667,10.67
14.11111111,14.11
9.388888889,9.39
9.555555556,9.56
6.111111111,6.11
7.777777778,7.78
6.388888889,6.39
9.166666667,9.17
7.833333333,7.83
-2.888888889,-2.89
-5.555555556,-5.56
-4.777777778,-4.78
-5.888888889,-5.89
-3.666666667,-3.67
-6.222222222,-6.22
-9.388888889,-9.39
-7.666666667,-7.67
-3.444444444,-3.44
-5.277777778,-5.28
-1.444444444,-1.44
8.944444444,8.94
9.444444444,9.44
-2.111111111,-2.11
-2.5,-2.5
-1.277777778,-1.28
-10.61111111,-10.61
-0.277777778,-0.28
7.944444444,7.94
-5.5,-5.5
-9.944444444,-9.94
-4.444444444,-4.44
-1.444444444,-1.44
-0.722222222,-0.72
2.055555556,2.06
1.944444444,1.94
1.444444444,1.44
3.277777778,3.28
-2.055555556,-2.06
-0.5,-0.5
0.888888889,0.89
4.722222222,4.72
9.833333333,9.83
12.33333333,12.33
9.944444444,9.94
-3,-3
-6.111111111,-6.11
-2.944444444,-2.94
-0.722222222,-0.72
1.111111111,1.11
4.888888889,4.89
4.722222222,4.72
2.944444444,2.94
1.111111111,1.11
4.277777778,4.28
1.555555556,1.56
-1.555555556,-1.56
-3.611111111,-3.61
-5.444444444,-5.44
-14.27777778,-14.28
-9.388888889,-9.39
-4.5,-4.5
-2.111111111,-2.11
0.166666667,0.17
-13.05555556,-13.06
-13.05555556,-13.06
-12.88888889,-12.89
-18.22222222,-18.22
-10.16666667,-10.17
-13.55555556,-13.56
-8,-8
-4.388888889,-4.39
-11.5,-11.5
-12.66666667,-12.67
-4.944444444,-4.94
-0.944444444,-0.94
3.888888889,3.89
6.222222222,6.22
3.333333333,3.33
2.333333333,2.33
3.833333333,3.83
1.111111111,1.11
-1.277777778,-1.28
0.555555556,0.56
4.666666667,4.67
2.277777778,2.28
4.5,4.5
2.666666667,2.67
3.222222222,3.22
1.277777778,1.28
-3.166666667,-3.17
1.888888889,1.89
-3.666666667,-3.67
-13.5,-13.5
-8.777777778,-8.78
-9.388888889,-9.39
-14.44444444,-14.44
-2.111111111,-2.11
3.111111111,3.11
2.888888889,2.89
0.166666667,0.17
-0.555555556,-0.56
-2.888888889,-2.89
-12.5,-12.5
-2.833333333,-2.83
-8.611111111,-8.61
-12.55555556,-12.56
-6.444444444,-6.44
-7.777777778,-7.78
-14.33333333,-14.33
-13.16666667,-13.17
-2.722222222,-2.72
-2.555555556,-2.56
-12.77777778,-12.78
-12.88888889,-12.89
-2.444444444,-2.44
-5.5,-5.5
-14.22222222,-14.22
-15.27777778,-15.28
-8.388888889,-8.39
-3.555555556,-3.56
-3.166666667,-3.17
-1,-1
-7.777777778,-7.78
-10.77777778,-10.78
2.888888889,2.89
6.055555556,6.06
6.555555556,6.56
6.944444444,6.94
11.16666667,11.17
10.83333333,10.83
12.83333333,12.83
13.83333333,13.83
10.5,10.5
13.72222222,13.72
18.44444444,18.44
5.944444444,5.94
7.388888889,7.39
5.444444444,5.44
9.222222222,9.22
8.722222222,8.72
8.888888889,8.89
2.444444444,2.44
1.277777778,1.28
4,4
3.333333333,3.33
1.555555556,1.56
4.666666667,4.67
9.333333333,9.33
13.94444444,13.94
16.05555556,16.06
19.77777778,19.78
15.33333333,15.33
5.833333333,5.83
10.5,10.5
14.33333333,14.33
12.61111111,12.61
10.22222222,10.22
9.444444444,9.44
9.444444444,9.44
8.888888889,8.89
13.94444444,13.94
16.33333333,16.33
14.05555556,14.06
14.33333333,14.33
16.55555556,16.56
18.16666667,18.17
20.16666667,20.17
18.11111111,18.11
13.83333333,13.83
8.722222222,8.72
8.444444444,8.44
7.888888889,7.89
10.61111111,10.61
11.88888889,11.89
9.333333333,9.33
12.05555556,12.06
13.66666667,13.67
16.55555556,16.56
16.5,16.5
16.5,16.5
15.16666667,15.17
16.33333333,16.33
22.22222222,22.22
19.16666667,19.17
19.33333333,19.33
21.55555556,21.56
22.05555556,22.06
16.77777778,16.78
17.94444444,17.94
19.05555556,19.06
10.22222222,10.22
13.77777778,13.78
16.27777778,16.28
15.61111111,15.61
18.22222222,18.22
21.38888889,21.39
20.5,20.5
10.38888889,10.39
10,10
9.111111111,9.11
15.55555556,15.56
18.05555556,18.06
19,19
18.44444444,18.44
20.5,20.5
17.77777778,17.78
20.94444444,20.94
21.05555556,21.06
20.77777778,20.78
15.11111111,15.11
15.77777778,15.78
17.05555556,17.06
17.72222222,17.72
20.61111111,20.61
22.88888889,22.89
25.05555556,25.06
22.22222222,22.22
24.11111111,24.11
24.44444444,24.44
27.77777778,27.78
27.83333333,27.83
21.72222222,21.72
19.05555556,19.06
20.88888889,20.89
23.94444444,23.94
21.38888889,21.39
22.22222222,22.22
24.83333333,24.83
22.27777778,22.28
22.83333333,22.83
25.44444444,25.44
25.66666667,25.67
26.16666667,26.17
23,23
21.11111111,21.11
21.83333333,21.83
22,22
22.77777778,22.78
22.83333333,22.83
23.88888889,23.89
23.55555556,23.56
21.38888889,21.39
18.33333333,18.33
21.27777778,21.28
22.66666667,22.67
24.94444444,24.94
23.77777778,23.78
19.61111111,19.61
18.38888889,18.39
21.27777778,21.28
22.94444444,22.94
24.05555556,24.06
28.11111111,28.11
30.11111111,30.11
28.05555556,28.06
24.44444444,24.44
24.44444444,24.44
29.72222222,29.72
28.72222222,28.72
25.66666667,25.67
24.88888889,24.89
22.83333333,22.83
22.55555556,22.56
24.83333333,24.83
26.33333333,26.33
26.77777778,26.78
25.72222222,25.72
24.33333333,24.33
24.44444444,24.44
24.77777778,24.78
25.16666667,25.17
26.38888889,26.39
26.16666667,26.17
27.05555556,27.06
24.22222222,24.22
22.77777778,22.78
23.5,23.5
24.27777778,24.28
26.27777778,26.28
25.16666667,25.17
25,25
23.27777778,23.28
23.77777778,23.78
24.33333333,24.33
25,25
26.61111111,26.61
26.11111111,26.11
25.61111111,25.61
23.5,23.5
19.94444444,19.94
16.11111111,16.11
20.11111111,20.11
22.44444444,22.44
23.33333333,23.33
18.05555556,18.06
18,18
18.61111111,18.61
18.88888889,18.89
19.38888889,19.39
20.77777778,20.78
20.11111111,20.11
19.33333333,19.33
25.22222222,25.22
26.33333333,26.33
25.83333333,25.83
27.16666667,27.17
27.38888889,27.39
28.05555556,28.06
26.72222222,26.72
24.88888889,24.89
24.11111111,24.11
22.77777778,22.78
23.38888889,23.39
16.61111111,16.61
15.33333333,15.33
17.33333333,17.33
22.38888889,22.39
23.88888889,23.89
25,25
24.83333333,24.83
17.22222222,17.22
15.38888889,15.39
17.27777778,17.28
19.77777778,19.78
23.05555556,23.06
22.11111111,22.11
22.33333333,22.33
21.5,21.5
21.22222222,21.22
20.77777778,20.78
22.38888889,22.39
17.61111111,17.61
13.83333333,13.83
13,13
12.55555556,12.56
12.16666667,12.17
10.44444444,10.44
15.27777778,15.28
17.5,17.5
19.33333333,19.33
20.27777778,20.28
13.72222222,13.72
14.38888889,14.39
21.11111111,21.11
18.77777778,18.78
14.11111111,14.11
13.88888889,13.89
13.72222222,13.72
8.388888889,8.39
8.333333333,8.33
11.88888889,11.89
19.61111111,19.61
17.61111111,17.61
17.55555556,17.56
15.05555556,15.06
15.72222222,15.72
12.44444444,12.44
10.94444444,10.94
11.55555556,11.56
9.611111111,9.61
7.833333333,7.83
5.5,5.5
7.444444444,7.44
9.5,9.5
15.16666667,15.17
16.94444444,16.94
14.94444444,14.94
15.44444444,15.44
16.16666667,16.17
8.388888889,8.39
6.555555556,6.56
7.444444444,7.44
7.888888889,7.89
10.55555556,10.56
11.55555556,11.56
7.555555556,7.56
5.833333333,5.83
10.61111111,10.61
12.38888889,12.39
11.38888889,11.39
14.72222222,14.72
9.277777778,9.28
3.888888889,3.89
1.055555556,1.06
-3.722222222,-3.72
-1.055555556,-1.06
3,3
5.333333333,5.33
11.61111111,11.61
4.388888889,4.39
-1.555555556,-1.56
-1.666666667,-1.67
0.833333333,0.83
1.833333333,1.83
0.5,0.5
1.388888889,1.39
1.222222222,1.22
3.722222222,3.72
5.444444444,5.44
4.555555556,4.56
2.777777778,2.78
5.222222222,5.22
7.666666667,7.67
10.5,10.5
7.944444444,7.94
7.888888889,7.89
9.611111111,9.61
4.333333333,4.33
3.333333333,3.33
2.277777778,2.28
-0.388888889,-0.39
-3.611111111,-3.61
-2.555555556,-2.56
8.444444444,8.44
2.388888889,2.39
1.166666667,1.17
5.277777778,5.28
-0.666666667,-0.67
-1.444444444,-1.44
1.722222222,1.72
-3.277777778,-3.28
-3.277777778,-3.28
-4.333333333,-4.33
-3.555555556,-3.56
-6,-6
-3.388888889,-3.39
-4.388888889,-4.39
-4.666666667,-4.67
-4.111111111,-4.11
-3.277777778,-3.28
0.388888889,0.39
1.944444444,1.94
1.333333333,1.33
-11.33333333,-11.33
-16.16666667,-16.17
-5.666666667,-5.67
-13.77777778,-13.78
-2.5,-2.5
4.333333333,4.33
-5.444444444,-5.44
-11.94444444,-11.94
-18.11111111,-18.11
-14.16666667,-14.17
-10.44444444,-10.44
-8.055555556,-8.06
-5.944444444,-5.94
-5,-5
-5.444444444,-5.44
-1.222222222,-1.22
-1.444444444,-1.44
-1.611111111,-1.61
0,0
1.666666667,1.67
1.777777778,1.78
4.777777778,4.78
3.777777778,3.78
2.166666667,2.17
1.388888889,1.39
-3.388888889,-3.39
-4.5,-4.5
-3.611111111,-3.61
0.277777778,0.28
2.777777778,2.78
-7.166666667,-7.17
-9.833333333,-9.83
-8.277777778,-8.28
-8.722222222,-8.72
-8.666666667,-8.67
-12.05555556,-12.06
-6.777777778,-6.78
-0.5,-0.5
1.833333333,1.83
0.333333333,0.33
5.833333333,5.83
11.77777778,11.78
7.777777778,7.78
3.666666667,3.67
3.166666667,3.17
3.777777778,3.78
2.111111111,2.11
-0.111111111,-0.11
3.166666667,3.17
11.05555556,11.06
9.333333333,9.33
4.444444444,4.44
-4.444444444,-4.44
-2.388888889,-2.39
0.666666667,0.67
3.722222222,3.72
3.444444444,3.44
11.38888889,11.39
17.27777778,17.28
17.77777778,17.78
8.5,8.5
9.833333333,9.83
12.22222222,12.22
10.72222222,10.72
11.33333333,11.33
14.61111111,14.61
13.11111111,13.11
9.611111111,9.61
8.111111111,8.11
3.333333333,3.33
2.055555556,2.06
3.444444444,3.44
8.222222222,8.22
13.83333333,13.83
6.388888889,6.39
1.555555556,1.56
5.388888889,5.39
7.611111111,7.61
4.888888889,4.89
9.055555556,9.06
13,13
15.66666667,15.67
9,9
5.611111111,5.61
5.777777778,5.78
17.11111111,17.11
7.888888889,7.89
7.166666667,7.17
8.055555556,8.06
6.5,6.5
4.444444444,4.44
3.722222222,3.72
13.11111111,13.11
6.833333333,6.83
7.777777778,7.78
13.88888889,13.89
16.11111111,16.11
18.83333333,18.83
21.05555556,21.06
21.33333333,21.33
18.22222222,18.22
13.5,13.5
13.66666667,13.67
13.38888889,13.39
13.11111111,13.11
13.88888889,13.89
20.16666667,20.17
19.05555556,19.06
15.22222222,15.22
9.777777778,9.78
10.33333333,10.33
9.055555556,9.06
8.611111111,8.61
8.5,8.5
11.77777778,11.78
14.94444444,14.94
15.27777778,15.28
15.05555556,15.06
22.16666667,22.17
18.94444444,18.94
17.88888889,17.89
16.61111111,16.61
18.88888889,18.89
16.72222222,16.72
14.61111111,14.61
12,12
9.722222222,9.72
12.94444444,12.94
12.44444444,12.44
10.72222222,10.72
13.5,13.5
16.66666667,16.67
17.05555556,17.06
18.5,18.5
20.55555556,20.56
20.77777778,20.78
22.22222222,22.22
21.27777778,21.28
20.55555556,20.56
19.88888889,19.89
19.94444444,19.94
22.38888889,22.39
24.5,24.5
21.11111111,21.11
19.88888889,19.89
21.55555556,21.56
23.66666667,23.67
21.61111111,21.61
23.22222222,23.22
22.5,22.5
19.94444444,19.94
23.11111111,23.11
27.83333333,27.83
28.88888889,28.89
26.22222222,26.22
29.16666667,29.17
27.77777778,27.78
25.5,25.5
28.66666667,28.67
26.5,26.5
26.05555556,26.06
27.05555556,27.06
27.16666667,27.17
26.55555556,26.56
25.83333333,25.83
27.88888889,27.89
24.22222222,24.22
24.88888889,24.89
29.05555556,29.06
26.33333333,26.33
26.61111111,26.61
23.72222222,23.72
21.77777778,21.78
22.38888889,22.39
21.11111111,21.11
18.33333333,18.33
19.11111111,19.11
20.05555556,20.06
27,27
27,27
