REGION,YEAR,WEEK,ILITOTAL,PERCENT POSITIVE,Influenza,cases
Illinois,2013,40,859,1.23,10.5657,10.5657
Illinois,2013,41,932,1.15,10.718,10.59616
Illinois,2013,42,937,2.15,20.1455,12.506028
Illinois,2013,43,1036,0,0,10.0048224
Illinois,2013,44,1072,0.96,10.2912,10.06209792
Illinois,2013,45,1069,0,0,8.049678336
Illinois,2013,46,1060,0,0,6.439742669
Illinois,2013,47,1095,8.7,95.265,24.20479414
Illinois,2013,48,1012,2.33,23.5796,24.07975531
Illinois,2013,49,1371,15.33,210.1743,61.29866425
Illinois,2013,50,1337,18.44,246.5428,98.3474914
Illinois,2013,51,1627,33.01,537.0727,186.0925331
Illinois,2013,52,1920,42.72,820.224,312.9188265
Illinois,2014,1,1995,43.84,874.608,425.2566612
Illinois,2014,2,1716,25.31,434.3196,427.069249
Illinois,2014,3,1712,24.89,426.1168,426.8787592
Illinois,2014,4,1538,23.53,361.8914,413.8812873
Illinois,2014,5,1240,20,248,380.7050299
Illinois,2014,6,1120,22.36,250.432,354.6504239
Illinois,2014,7,1146,13.74,157.4604,315.2124191
Illinois,2014,8,1182,9.09,107.4438,273.6586953
Illinois,2014,9,1186,14.88,176.4768,254.2223162
Illinois,2014,10,1033,11.94,123.3402,228.045893
Illinois,2014,11,1101,6.32,69.5832,196.3533544
Illinois,2014,12,975,8.33,81.2175,173.3261835
Illinois,2014,13,1126,6.02,67.7852,152.2179868
Illinois,2014,14,1158,5.13,59.4054,133.6554694
Illinois,2014,15,1181,13.4,158.254,138.5751756
Illinois,2014,16,1006,7.92,79.6752,126.7951804
Illinois,2014,17,1093,15.31,167.3383,134.9038044
Illinois,2014,18,956,14.86,142.0616,136.3353635
Illinois,2014,19,1055,10.1,106.555,130.3792908
Illinois,2014,20,808,8.24,66.5792,117.6192726
Illinois,2014,21,794,3.75,29.775,100.0504181
Illinois,2014,22,757,1.15,8.7055,81.78143448
Illinois,2014,23,761,1.41,10.7301,67.57116759
Illinois,2014,24,678,0,0,54.05693407
Illinois,2014,25,660,0,0,43.24554726
Illinois,2014,26,461,2.9,13.369,37.2702378
Illinois,2014,27,347,0,0,29.81619024
Illinois,2014,28,392,0,0,23.85295219
Illinois,2014,29,351,0,0,19.08236176
Illinois,2014,30,343,2.08,7.1344,16.6927694
Illinois,2014,31,331,0,0,13.35421552
Illinois,2014,32,338,0,0,10.68337242
Illinois,2014,33,351,0,0,8.546697935
Illinois,2014,34,410,0,0,6.837358348
Illinois,2014,35,362,4.17,15.0954,8.488966679
Illinois,2014,36,559,0,0,6.791173343
Illinois,2014,37,984,0,0,5.432938674
Illinois,2014,38,966,0,0,4.346350939
Illinois,2014,39,801,0,0,3.477080752
Illinois,2014,40,853,0.55,4.6915,3.719964601
Illinois,2014,41,831,3.78,31.4118,9.258331681
Illinois,2014,42,929,2.35,21.8315,11.77296534
Illinois,2014,43,899,5.7,51.243,19.66697228
Illinois,2014,44,979,8.27,80.9633,31.92623782
Illinois,2014,45,1109,16.99,188.4191,63.22481026
Illinois,2014,46,1212,17.32,209.9184,92.56352821
Illinois,2014,47,1378,27.33,376.6074,149.3723026
Illinois,2014,48,1810,32.25,583.725,236.2428421
Illinois,2014,49,2687,31.26,839.9562,356.9855136
Illinois,2014,50,3463,28.68,993.1884,484.2260909
Illinois,2014,51,3569,31.24,1114.9556,610.3719927
Illinois,2014,52,2308,26.07,601.6956,608.6367142
Illinois,2014,53,2035,17.65,359.1775,558.7448713
Illinois,2015,1,1397,13.21,184.5437,483.9046371
Illinois,2015,2,1120,9.59,107.408,408.6053097
Illinois,2015,3,1158,6.55,75.849,342.0540477
Illinois,2015,4,1153,6.93,79.9029,289.6238182
Illinois,2015,5,1030,4.65,47.895,241.2780545
Illinois,2015,6,1288,6.36,81.9168,209.4058036
Illinois,2015,7,1232,7.69,94.7408,186.4728029
Illinois,2015,8,1285,9.21,118.3485,172.8479423
Illinois,2015,9,1359,15.01,203.9859,179.0755339
Illinois,2015,10,1484,21.39,317.4276,206.7459471
Illinois,2015,11,1562,21.26,332.0812,231.8129977
Illinois,2015,12,1549,17.41,269.6809,239.3865781
Illinois,2015,13,1547,19.11,295.6317,250.6356025
Illinois,2015,14,1358,15.91,216.0578,243.720042
Illinois,2015,15,1142,10.6,121.052,219.1864336
Illinois,2015,16,922,10.24,94.4128,194.2317069
Illinois,2015,17,937,7.24,67.8388,168.9531255
Illinois,2015,18,878,6,52.68,145.6985004
Illinois,2015,19,752,0.97,7.2944,118.0176803
Illinois,2015,20,742,0.92,6.8264,95.77942426
Illinois,2015,21,562,0.57,3.2034,77.26421941
Illinois,2015,22,558,1.22,6.8076,63.17289553
Illinois,2015,23,521,0.7,3.647,51.26771642
Illinois,2015,24,435,0,0,41.01417314
Illinois,2015,25,548,0,0,32.81133851
Illinois,2015,26,448,2.54,11.3792,28.52491081
Illinois,2015,27,435,0.89,3.8715,23.59422865
Illinois,2015,28,437,1.89,8.2593,20.52724292
Illinois,2015,29,415,0,0,16.42179433
Illinois,2015,30,432,1.03,4.4496,14.02735547
Illinois,2015,31,438,1.12,4.9056,12.20300437
Illinois,2015,32,412,1.06,4.3672,10.6358435
Illinois,2015,33,384,0,0,8.508674799
Illinois,2015,34,450,0.89,4.005,7.607939839
Illinois,2015,35,428,0.64,2.7392,6.634191871
Illinois,2015,36,500,0,0,5.307353497
Illinois,2015,37,643,1.03,6.6229,5.570462798
Illinois,2015,38,609,0.45,2.7405,5.004470238
Illinois,2015,39,542,0.34,1.8428,4.372136191
Illinois,2015,40,833,1.13,9.4129,5.380288952
Illinois,2015,41,908,1.11,10.0788,6.319991162
Illinois,2015,42,806,2.18,17.5708,8.57015293
Illinois,2015,43,842,3.55,29.891,12.83432234
Illinois,2015,44,920,2.11,19.412,14.14985787
Illinois,2015,45,1020,4.8,48.96,21.1118863
Illinois,2015,46,978,3.02,29.5356,22.79662904
Illinois,2015,47,830,2,16.6,21.55730323
Illinois,2015,48,1057,1.37,14.4809,20.14202259
Illinois,2015,49,1119,0.84,9.3996,17.99353807
Illinois,2015,50,1008,1.61,16.2288,17.64059045
Illinois,2015,51,1041,1.79,18.6339,17.83925236
Illinois,2015,52,1034,1.5,15.51,17.37340189
Illinois,2016,1,1178,6.83,80.4574,29.99020151
Illinois,2016,2,1217,3.76,45.7592,33.14400121
Illinois,2016,3,1238,6.5,80.47,42.60920097
Illinois,2016,4,1402,10.66,149.4532,63.97800077
Illinois,2016,5,1551,13.03,202.0953,91.60146062
Illinois,2016,6,1699,15.09,256.3791,124.5569885
Illinois,2016,7,2003,19.21,384.7763,176.6008508
Illinois,2016,8,1989,20.88,415.3032,224.3413206
Illinois,2016,9,2162,19.73,426.5626,264.7855765
Illinois,2016,10,2093,21.3,445.809,300.9902612
Illinois,2016,11,1642,14.46,237.4332,288.278849
Illinois,2016,12,1335,11.56,154.326,261.4882792
Illinois,2016,13,1246,10.72,133.5712,235.9048633
Illinois,2016,14,1029,8.31,85.5099,205.8258707
Illinois,2016,15,955,12.4,118.42,188.3446965
Illinois,2016,16,894,8.52,76.1688,165.9095172
Illinois,2016,17,800,9.09,72.72,147.2716138
Illinois,2016,18,664,2.67,17.7288,121.363051
Illinois,2016,19,699,3.52,24.6048,102.0114008
Illinois,2016,20,636,3.21,20.4156,85.69224066
Illinois,2016,21,540,1.66,8.964,70.34659253
Illinois,2016,22,513,0.82,4.2066,57.11859402
Illinois,2016,23,395,0,0,45.69487522
Illinois,2016,24,310,1.52,4.712,37.49830017
Illinois,2016,25,346,0,0,29.99864014
Illinois,2016,26,355,0,0,23.99891211
Illinois,2016,27,289,1.1,3.179,19.83492969
Illinois,2016,28,317,0,0,15.86794375
Illinois,2016,29,307,0,0,12.694355
Illinois,2016,30,295,0,0,10.155484
Illinois,2016,31,267,0.95,2.5365,8.6316872
Illinois,2016,32,263,0,0,6.90534976
Illinois,2016,33,275,0,0,5.524279808
Illinois,2016,34,327,0,0,4.419423847
Illinois,2016,35,315,1.8,5.67,4.669539077
Illinois,2016,36,396,0,0,3.735631262
Illinois,2016,37,516,0.68,3.5088,3.690265009
Illinois,2016,38,497,1.4,6.958,4.343812008
Illinois,2016,39,623,0.58,3.6134,4.197729606
Illinois,2016,40,640,0.53,3.392,4.036583685
Illinois,2016,41,571,0,0,3.229266948
Illinois,2016,42,743,0.37,2.7491,3.133233558
Illinois,2016,43,742,0.34,2.5228,3.011146847
Illinois,2016,44,804,0,0,2.408917477
Illinois,2016,45,827,0.36,2.9772,2.522573982
Illinois,2016,46,899,2.41,21.6659,6.351239185
Illinois,2016,47,744,2.08,15.4752,8.176031348
Illinois,2016,48,860,1.58,13.588,9.258425079
Illinois,2016,49,894,1.49,13.3206,10.07086006
Illinois,2016,50,943,4.49,42.3407,16.52482805
Illinois,2016,51,978,6.18,60.4404,25.30794244
Illinois,2016,52,1234,9.72,119.9448,44.23531395
Illinois,2017,1,1267,9.27,117.4509,58.87843116
Illinois,2017,2,1350,15.84,213.84,89.87074493
Illinois,2017,3,1443,17.31,249.7833,121.8532559
Illinois,2017,4,1640,15.34,251.576,147.7978048
Illinois,2017,5,1810,24.67,446.527,207.5436438
Illinois,2017,6,2297,26.28,603.6516,286.765235
Illinois,2017,7,2435,30.89,752.1715,379.846488
Illinois,2017,8,2284,39.21,895.5564,482.9884704
Illinois,2017,9,1743,22.32,389.0376,464.1982963
Illinois,2017,10,1759,22.1,388.739,449.1064371
Illinois,2017,11,1450,19.21,278.545,414.9941497
Illinois,2017,12,1440,24.52,353.088,402.6129197
Illinois,2017,13,1348,21.28,286.8544,379.4612158
Illinois,2017,14,1169,15.92,186.1048,340.7899326
Illinois,2017,15,764,15.63,119.4132,296.5145861
Illinois,2017,16,676,9.15,61.854,249.5824689
Illinois,2017,17,681,5.34,36.3654,206.9390551
Illinois,2017,18,617,5.58,34.4286,172.4369641
Illinois,2017,19,715,5.2,37.18,145.3855713
Illinois,2017,20,576,2.74,15.7824,119.464937
Illinois,2017,21,485,1,4.85,96.54194961
Illinois,2017,22,417,1.87,7.7979,78.79313969
Illinois,2017,23,404,0.56,2.2624,63.48699175
Illinois,2017,24,339,2.88,9.7632,52.7422334
Illinois,2017,25,328,0,0,42.19378672
Illinois,2017,26,293,0,0,33.75502938
Illinois,2017,27,226,1,2.26,27.4560235
Illinois,2017,28,276,3.39,9.3564,23.8360988
Illinois,2017,29,238,0.97,2.3086,19.53059904
Illinois,2017,30,242,0,0,15.62447923
Illinois,2017,31,256,0,0,12.49958339
Illinois,2017,32,249,0,0,9.999666709
Illinois,2017,33,273,0,0,7.999733367
Illinois,2017,34,263,0.77,2.0251,6.804806694
Illinois,2017,35,299,0.84,2.5116,5.946165355
Illinois,2017,36,354,0.59,2.0886,5.174652284
Illinois,2017,37,476,1.24,5.9024,5.320201827
Illinois,2017,38,469,1.72,8.0668,5.869521462
Illinois,2017,39,473,1.52,7.1896,6.133537169
Illinois,2017,40,571,0.95,5.4245,5.991729736
Illinois,2017,41,583,0.48,2.7984,5.353063788
Illinois,2017,42,485,1.59,7.7115,5.824751031
Illinois,2017,43,535,0.46,2.461,5.152000825
Illinois,2017,44,549,3.45,18.9405,7.90970066
Illinois,2017,45,633,3.62,22.9146,10.91068053
Illinois,2017,46,610,3.25,19.825,12.69354442
Illinois,2017,47,545,6.78,36.951,17.54503554
Illinois,2017,48,906,9.35,84.711,30.97822843
Illinois,2017,49,957,12.8,122.496,49.28178274
Illinois,2017,50,1397,19.19,268.0843,93.0422862
Illinois,2017,51,1956,28.45,556.482,185.730229
Illinois,2017,52,2524,36.68,925.8032,333.7448232
Illinois,2018,1,2495,33.92,846.304,436.2566585
Illinois,2018,2,2465,31.45,775.2425,504.0538268
Illinois,2018,3,2370,39.32,931.884,589.6198615
Illinois,2018,4,2560,34.69,888.064,649.3086892
Illinois,2018,5,2720,29.56,804.032,680.2533513
Illinois,2018,6,2552,28.75,733.7,690.9426811
Illinois,2018,7,2414,28.32,683.6448,689.4831049
Illinois,2018,8,1879,22.29,418.8291,635.3523039
Illinois,2018,9,1279,18.15,232.1385,554.7095431
Illinois,2018,10,1081,18.52,200.2012,483.8078745
Illinois,2018,11,1051,17.63,185.2913,424.1045596
Illinois,2018,12,958,19.14,183.3612,375.9558877
Illinois,2018,13,811,17.35,140.7085,328.9064101
Illinois,2018,14,781,9.83,76.7723,278.4795881
Illinois,2018,15,695,11,76.45,238.0736705
Illinois,2018,16,506,10.6,53.636,201.1861364
Illinois,2018,17,578,8.75,50.575,171.0639091
Illinois,2018,18,445,9.47,42.1415,145.2794273
Illinois,2018,19,423,4.39,18.5697,119.9374818
Illinois,2018,20,387,2.72,10.5264,98.05526547
Illinois,2018,21,366,2.22,8.1252,80.06925237
Illinois,2018,22,319,0.83,2.6477,64.5849419
Illinois,2018,23,224,2.13,4.7712,52.62219352
Illinois,2018,24,209,0,0,42.09775481
Illinois,2018,25,269,0,0,33.67820385
Illinois,2018,26,239,2.67,6.3813,28.21882308
Illinois,2018,27,241,1.27,3.0607,23.18719847
Illinois,2018,28,264,0,0,18.54975877
Illinois,2018,29,221,0,0,14.83980702
Illinois,2018,30,164,0,0,11.87184561
Illinois,2018,31,177,0,0,9.497476491
Illinois,2018,32,157,0,0,7.597981193
Illinois,2018,33,172,0,0,6.078384954
Illinois,2018,34,188,0,0,4.862707964
Illinois,2018,35,269,0,0,3.890166371
Illinois,2018,36,263,0,0,3.112133097
Illinois,2018,37,292,1.63,4.7596,3.441626477
Illinois,2018,38,334,0,0,2.753301182
Illinois,2018,39,272,0.74,2.0128,2.605200945
Illinois,2018,40,394,3.09,12.1746,4.519080756
Illinois,2018,41,493,0.49,2.4157,4.098404605
Illinois,2018,42,518,0,0,3.278723684
Illinois,2018,43,579,0.8,4.632,3.549378947
Illinois,2018,44,656,1.98,12.9888,5.437263158
Illinois,2018,45,632,0.34,2.1488,4.779570526
Illinois,2018,46,649,2.01,13.0449,6.432636421
Illinois,2018,47,627,2.11,13.2297,7.792049137
Illinois,2018,48,732,2.11,15.4452,9.322679309
Illinois,2018,49,788,2.15,16.942,10.84654345
Illinois,2018,50,849,4.04,34.2996,15.53715476
Illinois,2018,51,987,7.2,71.064,26.64252381
Illinois,2018,52,1339,10.2,136.578,48.62961905
Illinois,2019,1,1262,11.79,148.7898,68.66165524
Illinois,2019,2,1019,10.78,109.8482,76.89896419
Illinois,2019,3,1057,14.66,154.9562,92.51041135
Illinois,2019,4,1046,15.15,158.469,105.7021291
Illinois,2019,5,1089,18.62,202.7718,125.1160633
Illinois,2019,6,1198,19.69,235.8862,147.2700906
Illinois,2019,7,1326,27.79,368.4954,191.5151525
Illinois,2019,8,1601,22.52,360.5452,225.321162
Illinois,2019,9,1557,22.94,357.1758,251.6920896
Illinois,2019,10,1650,26.28,433.62,288.0776717
Illinois,2019,11,1907,25.27,481.8989,326.8419173
